주차장코드	주차장명	주소	주차장 종류	주차장 종류명	운영구분	운영구분명	전화번호	총 주자면	유무료구분	유무료구분명	야간무료개방여부	야간무료개방여부명	평일 운영 시작시각(HHMM)	평일 운영 종료시각(HHMM)	주말 운영 시작시각(HHMM)	주말 운영 종료시각(HHMM)	공휴일 운영 시작시각(HHMM)	공휴일 운영 종료시각(HHMM)	최종데이터 동기화 시간	토요일 유,무료 구분	토요일 유,무료 구분명	공휴일 유,무료 구분	공휴일 유,무료 구분명	월 정기권 금액	노상 주차장 관리그룹번호	기본 주차 요금	기본 주차 시간(분 단위)	추가 단위 요금	추가 단위 시간(분 단위)	버스 기본 주차 요금	버스 기본 주차 시간(분 단위)	버스 추가 단위 시간(분 단위)	버스 추가 단위 요금	일 최대 요금	주차장 위치 좌표 위도	주차장 위치 좌표 경도
1364472	영희초교 공영주차장(구)	강남구 일원동 617-0	NW	노외 주차장	1	시간제 주차장	02-2176-0934	186	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-08 18:27	N	무료	N	무료	70000		100	5	100	5	0	0	0	0		37.49192117	127.0812916
1366600	학여울 공영주차장(시)	강남구 대치동 514-1	NW	노외 주차장	1	시간제 주차장	02-3405-4074	180	Y	유료	N	야간 미개방	500	100	500	100	500	100	2022-08-17 15:53	N	무료	N	무료	140000		260	5	260	5	0	0	0	0	0	37.49705092	127.0723954
1366602	일원터널 공영주차장(시)	강남구 일원동 722-1	NW	노외 주차장	1	시간제 주차장	02-2290-6449	11	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2021-10-07 13:05	N	무료	N	무료	70000		130	5	130	5	0	0	0	0	0	37.48285728	127.079372
1374090	수서역남 공영주차장(시)	강남구 수서동 727-0	NW	노외 주차장	1	시간제 주차장	02-3405-4076	69	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2022-08-18 9:11	N	무료	N	무료	168000		320	5	320	5	0	0	0	0	0	37.4868589	127.1011147
1441342	도곡초 공영주차장(구)	강남구 대치동 924-10	NW	노외 주차장	1	시간제 주차장	02-501-5921	200	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-08 16:11	N	무료	N	무료	180000		300	5	300	5	0	0	0	0		37.49906096	127.0546851
1441353	신구초 공영주차장(구)	강남구 신사동 550-11	NW	노외 주차장	1	시간제 주차장	02-540-6149	185	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-08 16:13	N	무료	N	무료	180000		300	5	300	5	0	0	0	0	0	37.52309456	127.0242926
1441360	역삼문화공원 공영주차장(구)	강남구 역삼동 635-0	NW	노외 주차장	1	시간제 주차장	02-2176-0907	59	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-08 10:51	N	무료	N	무료	180000		300	5	300	5	0	0	0	0		37.50229995	127.0300608
1441370	도산대로25길 32 공영주차장(구)	강남구 신사동 564-0	NW	노외 주차장	1	시간제 주차장	02-549-0463	26	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2020-07-07 18:11	Y	유료	Y	유료	200000		400	5	400	5	0	0	0	0		37.52166886	127.0267945
1490929	공유) 151-100(구)	강남구 삼성동 111-57	NS	노상 주차장	2	거주자 우선 주차장		1	Y	유료	N	야간 미개방	0	0	0	0	0	0	2019-10-11 10:42	N	무료	N	무료	0	1.16801E+12	0	0	0	0	0	0	0	0	0	37.51868198	127.0563313
1495384	도산대로45길(구)	강남구 신사동 668-46 도산공원 앞길	NS	노상 주차장	1	시간제 주차장	02-2176-0566	1	Y	유료	N	야간 미개방	1000	2000	0	0	0	0	2019-11-29 11:13	Y	유료	Y	유료	150000	1.16801E+12	400	5	800	5	0	0	0	0	30000	37.52383184	127.035663
1495387	헌릉로745길(구)	강남구 율현동 101-10	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2019-09-10 20:38	Y	유료	Y	유료	120000	1.16801E+12	300	5	600	5	0	0	0	0	24000	37.46989058	127.1181502
1495425	영동대로106길(구)	강남구 삼성동 172-7	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2019-09-20 20:33	Y	유료	Y	유료	120000	1.16801E+12	300	5	600	5	0	0	0	0	24000	37.51347438	127.0622038
1495562	압구정로29길(구)	강남구 압구정동 453-0	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2019-09-10 20:44	Y	유료	Y	유료	80000	1.16801E+12	200	5	400	5	0	0	0	0	16000	37.53084452	127.0274551
1495566	논현로28길(구)	강남구 도곡동 524-0	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2019-09-20 20:35	Y	유료	Y	유료	120000	1.16801E+12	300	5	600	5	0	0	0	0	24000	37.48295935	127.0440147
1495580	테헤란로64길(구)	강남구 대치동 1011-19	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2019-09-20 20:39	Y	유료	Y	유료	150000	1.16801E+12	400	5	800	5	0	0	0	0	30000	37.50470329	127.0509389
1495593	선릉로146길(구)	강남구 청담동 77-27	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	1000	2000	0	0	0	0	2019-11-28 11:32	Y	유료	Y	유료	150000	1.16801E+12	400	5	800	5	0	0	0	0	30000	37.52178432	127.0403393
1495594	선릉로132길(구)	강남구 청담동 77-84	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2019-09-20 20:39	Y	유료	Y	유료	150000	1.16801E+12	400	5	800	5	0	0	0	0	30000	37.51820759	127.0427739
1495596	영동대로85길(구)	강남구 대치동 1012-15	NS	노상 주차장	1	시간제 주차장	1544-3113	1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2019-09-20 20:37	Y	유료	Y	유료	150000	1.16801E+12	400	5			0	0	0	0		37.50628728	127.0598035
1495622	남부순환로397길(구)	강남구 대치동 600-13	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2020-04-21 17:23	Y	유료	Y	유료	120000	1.16801E+12	300	5	600	5	0	0	0	0	24000	37.49321164	127.0583826
1495632	대치동507-3(구)	강남구 대치동 507-3	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2019-09-10 20:34	Y	유료	Y	유료	120000	1.16801E+12	300	5	600	5	0	0	0	0	24000	37.4932203	127.0624464
1495682	영동대로96길(구)	강남구 삼성동 172-41	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2019-09-20 20:32	Y	유료	Y	유료	120000	1.16801E+12	300	5	600	5	0	0	0	0	24000	37.51105669	127.0639224
1495907	언주로171길(구)	강남구 신사동 668-11	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2019-09-20 20:41	Y	유료	Y	유료	150000	1.16801E+12	400	5	800	5	0	0	0	0	30000	37.52759688	127.0320819
1496216	압구정고가1 공영주차장(시)	강남구 신사동 668-0	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	800	2100	900	2100	900	2100	2021-10-07 16:41	N	무료	N	무료	0	1.16801E+12	500	5	500	5	0	0	0	0	0	37.52603656	127.0284431
1496233	동호대교(남) 공영주차장(시)	강남구 압구정동 435-0	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	900	1900	0	0	2021-10-07 16:36	N	무료	Y	유료	70000	1.16801E+12	170	5	170	5	0	0	0	0	0	37.53091601	127.0247575
1496373	압구정고가2 공영주차장(시)	강남구 신사동 668-0	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	2000	900	2100	900	2100	2021-10-07 16:43	N	무료	N	무료	0	1.16801E+12	500	5	500	5	0	0	0	0	0	37.52577984	127.0283633
1565220	대치유수지(구)	강남구 대치동 78-29	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2019-09-10 20:41	Y	유료	Y	유료	80000	1.16801E+12	200	5	400	5	0	0	0	0	16000	37.50501985	127.0684336
1565412	개포주공5단지북측(구)	강남구 개포동 186-7	NS	노상 주차장	1	시간제 주차장	02-445-8879	1	Y	유료	N	야간 미개방	900	1900	900	1500	0	0	2019-09-10 20:49	N	무료	Y	유료	120000	1.16801E+12	300	5	600	5	0	0	0	0	0	37.48849799	127.0677588
1566024	일원동맛의거리(구)	강남구 일원동 709-9	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	1100	2100	0	0	0	0	2019-09-10 20:47	Y	유료	Y	유료	50000	1.16801E+12	100	5	100	5	0	0	0	0	10000	37.49058511	127.0856213
1568792	테헤란로26길(구)	강남구 역삼동 803-8	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2019-09-20 20:36	Y	유료	Y	유료	150000	1.16801E+12	400	5	800	5	0	0	0	0	30000	37.49998021	127.0359282
1568804	은마아파트(구)	강남구 대치동 316-0	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2019-09-10 20:40	Y	유료	Y	유료	120000	1.16801E+12	300	5	600	5	0	0	0	0	24000	37.49933842	127.0644417
1570038	논현로131길(구)	강남구 논현동 279-99 학동역7번출구윗길	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2020-07-21 18:30	Y	유료	Y	유료	150000	1.16801E+12	400	5	800	5	0	0	0	0		37.514463	127.029751
1581248	밤고개로21길 공영주차장(구)	강남구 율현동 77-5	NW	노외 주차장	1	시간제 주차장	02-2176-0907	109	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-08 18:34	N	무료	N	무료	70000		100	5	100	5	0	0	0	0		37.47354638	127.1144114
1585128	대왕초 공영주차장(구)	강남구 세곡동 517-0	NW	노외 주차장	1	시간제 주차장	02-2176-0907	100	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-08 18:33	N	무료	N	무료	70000		100	5	100	5	0	0	0	0		37.46445115	127.1055827
1585237	영동6교밑 공영주차장(시)	강남구 대치동 512-1	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	900	1700	900	1700	2021-10-07 16:45	N	무료	N	무료	0	1.16801E+12	260	5	260	5	0	0	0	0	0	37.49443373	127.0712579
1586233	테헤란로69길(구)	강남구 삼성동 172-99 선정릉입구 앞길	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2019-12-12 16:12	Y	유료	Y	유료	150000	1.16801E+12	400	5	800	5	0	0	0	0	0	37.50669466	127.0523868
1587762	언주로147길(구)	강남구 논현동 279-22 언북중학교 뒷길	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2019-11-29 10:59	Y	유료	Y	유료	150000	1.16801E+12	400	5	800	5	0	0	0	0	30000		
1597486	강남대로150길(구)	강남구 논현동 280-1	NS	노상 주차장	1	시간제 주차장	02-1544-3113	1	Y	유료	N	야간 미개방	1000	2000	0	0	0	0	2021-03-18 11:04	Y	유료	Y	유료	150000	1.16801E+12	400	5	800	5	0	0	0	0		37.515837	127.020586
1910157	테헤란로78길(구)	강남구 대치동 1011-6 포스코 센터 옆길	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2020-05-27 15:43	Y	유료	Y	유료		1.16801E+12	400	5	800	5	0	0	0	0	30000	37.5055	127.055502
1910185	영동대로86길(구)	강남구 대치동 1012-22 삼성역 2번출구 아랫길	NS	노상 주차장	1	시간제 주차장		1	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2020-05-27 15:43	Y	유료	Y	유료		1.16801E+12	400	5	800	5	0	0	0	0	30000	37.508478	127.066642
